time,joint1_deg,joint2_deg,joint3_deg,ee_x,ee_y,ee_z
<module 'time' (built-in)>,-0.00016731226484195628,-0.04555655961789856,0.028111088507851843,0.016347565917253684,0.3005769735497998,0.3005769735497998
<module 'time' (built-in)>,-0.0013141338730206305,-0.04468989502964218,0.027899139046727275,0.01633067952850825,0.3005729836534834,0.3005729836534834
<module 'time' (built-in)>,-0.0032751988230061637,-0.04424319616274767,0.027208985371247045,0.016301803642677914,0.30056976995225937,0.30056976995225937
<module 'time' (built-in)>,-0.0031765098222332703,-0.04557116612908487,0.026661261587106584,0.016304317265348773,0.3005740311896082,0.3005740311896082
<module 'time' (built-in)>,-0.0022770824226784935,-0.04648803671561314,0.026594294818056533,0.016317697005229094,0.3005773563562285,0.3005773563562285
<module 'time' (built-in)>,-0.0007390615694398252,-0.04874608380459242,0.026152061546023765,0.01633989429470506,0.300584041776211,0.300584041776211
<module 'time' (built-in)>,-0.0007149951547125216,-0.05019430283713961,0.02526272002474659,0.01634050695752474,0.30058596559282846,0.30058596559282846
<module 'time' (built-in)>,-0.0008762062061738234,-0.04993486142250111,0.024883579691991585,0.016338356364474546,0.30058417460574055,0.30058417460574055
<module 'time' (built-in)>,-0.00026757694982885007,-0.04800372008188319,0.024777682986909674,0.016346340505909072,0.3005781247484722,0.3005781247484722
<module 'time' (built-in)>,-8.108687913361313e-06,-0.04665434000377459,0.024899074077879325,0.016349886733107843,0.3005739499577711,0.3005739499577711
<module 'time' (built-in)>,-0.00033236283091539346,-0.044799099012771036,0.0247789327464802,0.01634523466614607,0.3005668875792372,0.3005668875792372
<module 'time' (built-in)>,-0.0002991265478238442,-0.044008180485027415,0.024561178071537064,0.01634566953094513,0.3005633089077285,0.3005633089077285
<module 'time' (built-in)>,0.0013285038230575988,-0.04220351086002366,0.02430182450736954,0.016369692651714084,0.3005552697434502,0.3005552697434502
<module 'time' (built-in)>,0.0027082721258136046,-0.041434151704101016,0.024357794516307953,0.01639059701349742,0.30055199325031323,0.30055199325031323
<module 'time' (built-in)>,0.004730245601474157,-0.04080874593348921,0.02478122332854985,0.016421750346370126,0.3005499331725541,0.3005499331725541
<module 'time' (built-in)>,0.005537129159455942,-0.04124986076576197,0.025128274245325963,0.016433703044527567,0.3005526158389897,0.3005526158389897
<module 'time' (built-in)>,0.007254330365657013,-0.04303946470797228,0.025721731313013117,0.01645747330242788,0.3005617250344953,0.3005617250344953
<module 'time' (built-in)>,0.00807512245369504,-0.04446524395681725,0.02718559182871135,0.016468566805938948,0.30057065587621046,0.30057065587621046
<module 'time' (built-in)>,0.007965741909123268,-0.04454070898675721,0.028309268265338527,0.016467819981988395,0.3005731243845531,0.3005731243845531
